id,target,Usage,group
00204,1,Public,0
00030,1,Public,0
00146,1,Public,0
00020,1,Public,0
00511,1,Public,0
00261,1,Public,0
00346,1,Public,0
00545,1,Public,0
00492,1,Public,0
00299,1,Public,0
00350,1,Public,0
00484,1,Public,0
00230,1,Public,0
00161,1,Public,0
00193,1,Public,0
00347,1,Public,0
00101,1,Public,0
00304,1,Public,0
00087,1,Public,0
00462,1,Public,0
00219,1,Public,0
00278,1,Public,0
00221,1,Public,0
00185,1,Public,0
00323,1,Public,0
00045,1,Public,0
00548,1,Public,0
00156,1,Public,0
00419,1,Public,0
00374,1,Public,0
00038,1,Public,0
00176,1,Public,0
00211,1,Public,0
01009,1,Public,0
00781,1,Public,0
00994,1,Public,0
00482,1,Public,0
00316,1,Public,0
00258,1,Public,0
01038,1,Public,0
00799,1,Public,0
00267,1,Public,0
01023,1,Public,0
00436,1,Public,0
00279,1,Public,0
00268,1,Public,0
00137,1,Public,0
00338,1,Public,0
00561,1,Public,0
01017,1,Public,0
00439,1,Public,0
00801,1,Public,0
00009,1,Public,0
00215,1,Public,0
00091,1,Public,0
00631,1,Public,0
00322,1,Public,0
00878,1,Public,0
00969,1,Public,0
00779,1,Public,0
00778,1,Public,0
00892,1,Public,0
00196,1,Public,0
00305,1,Public,0
00987,1,Public,0
00159,1,Public,0
00075,1,Public,0
00720,1,Public,0
00002,1,Public,0
01006,1,Public,0
00975,1,Public,0
01877,0,Public,0
01898,0,Public,0
01367,0,Public,0
01744,0,Public,0
00385,1,Public,0
01956,0,Public,0
00806,1,Public,0
01575,0,Public,0
01769,0,Public,0
01794,0,Public,0
00829,1,Public,0
01804,0,Public,0
01068,0,Public,0
00962,1,Public,0
00724,1,Public,0
01347,0,Public,0
01166,0,Public,0
00764,1,Public,0
00654,1,Public,0
01907,0,Public,0
00628,1,Public,0
00743,1,Public,0
01836,0,Public,0
00620,1,Public,0
01201,0,Public,0
00853,1,Public,0
00399,1,Public,0
01997,0,Public,0
01158,0,Public,0
00448,1,Public,0
00400,1,Public,0
01859,0,Public,0
00559,1,Public,0
01648,0,Public,0
00107,1,Public,0
01633,0,Public,0
02073,0,Public,0
01110,0,Public,0
01203,0,Public,0
02008,0,Public,0
00711,1,Public,0
01751,0,Public,0
00092,1,Public,0
01905,0,Public,0
01247,0,Public,0
01181,0,Public,0
01886,0,Public,0
00432,1,Public,0
01480,0,Public,0
00767,1,Public,0
00920,1,Public,0
01814,0,Public,0
01692,0,Public,0
01512,0,Public,0
01993,0,Public,0
01059,0,Public,0
01065,0,Public,0
00535,1,Public,0
01820,0,Public,0
01745,0,Public,0
00689,1,Public,0
00297,1,Public,0
01208,0,Public,0
00984,1,Public,0
00094,1,Public,0
02082,0,Public,0
00070,1,Public,0
01389,0,Public,0
01826,0,Public,0
01808,0,Public,0
00051,1,Public,0
00862,1,Public,0
02093,0,Public,0
01863,0,Public,0
01244,0,Public,0
02010,0,Public,0
00451,1,Public,0
01101,0,Public,0
01179,0,Public,0
01275,0,Public,0
01565,0,Public,0
01715,0,Public,0
01651,0,Public,0
01472,0,Public,0
00572,1,Public,0
01902,0,Public,0
01945,0,Public,0
01774,0,Public,0
02068,0,Public,0
01083,0,Public,0
01777,0,Public,0
00760,1,Public,0
01947,0,Public,0
00649,1,Public,0
01330,0,Public,0
01677,0,Public,0
01044,0,Public,0
00421,1,Public,0
02098,0,Public,0
02107,0,Public,0
00756,1,Public,0
01927,0,Public,0
01216,0,Public,0
00231,1,Public,0
00728,1,Public,0
01636,0,Public,0
00280,1,Public,0
01253,0,Public,0
00775,1,Public,0
01149,0,Public,0
01264,0,Public,0
01481,0,Public,0
02101,0,Public,0
00277,1,Public,0
01831,0,Public,0
01056,0,Public,0
00612,1,Public,0
00993,1,Public,0
00925,1,Public,0
00886,1,Public,0
01895,0,Public,0
01610,0,Public,0
01297,0,Public,0
01758,0,Public,0
01310,0,Public,0
00067,1,Public,0
01984,0,Public,0
00821,1,Public,0
01531,0,Public,0
00386,1,Public,0
02123,0,Public,0
00116,1,Public,0
01938,0,Public,0
01410,0,Public,0
01676,0,Public,0
01549,0,Public,0
00619,1,Public,0
02065,0,Public,0
01007,1,Public,0
00390,1,Public,0
00120,1,Public,0
01479,0,Public,0
00113,1,Public,0
00035,1,Public,0
01126,0,Public,0
00708,1,Public,0
01513,0,Public,0
01731,0,Public,0
00732,1,Public,0
01312,0,Public,0
01113,0,Public,0
01854,0,Public,0
00738,1,Public,0
00681,1,Public,0
01316,0,Public,0
00908,1,Public,0
01672,0,Public,0
01873,0,Public,0
01483,0,Public,0
00992,1,Public,0
01555,0,Public,0
00770,1,Public,0
02091,0,Public,0
01686,0,Public,0
01567,0,Public,0
01143,0,Public,0
01940,0,Public,0
01650,0,Public,0
01398,0,Public,0
01032,1,Public,0
00946,1,Public,0
00894,1,Public,0
00717,1,Public,0
01974,0,Public,0
01169,0,Public,0
00933,1,Public,0
01154,0,Public,0
01450,0,Public,0
00812,1,Public,0
01965,0,Public,0
01561,0,Public,0
01876,0,Public,0
01782,0,Public,0
00726,1,Public,0
01982,0,Public,0
01861,0,Public,0
01644,0,Public,0
01409,0,Public,0
01764,0,Public,0
01030,1,Public,0
01246,0,Public,0
00772,1,Public,0
01856,0,Public,0
01010,1,Public,0
02057,0,Public,0
01151,0,Public,0
02043,0,Public,0
01139,0,Public,0
01668,0,Public,0
01375,0,Public,0
02109,0,Public,0
01274,0,Public,0
02047,0,Public,0
01855,0,Public,0
01688,0,Public,0
01125,0,Public,0
01576,0,Public,0
01502,0,Public,0
01239,0,Public,0
01353,0,Public,0
01152,0,Public,0
01432,0,Public,0
01675,0,Public,0
00518,1,Private,0
00445,1,Private,0
00531,1,Private,0
00504,1,Private,0
00379,1,Private,0
00073,1,Private,0
00186,1,Private,0
00126,1,Private,0
00438,1,Private,0
00508,1,Private,0
00293,1,Private,0
00404,1,Private,0
00012,1,Private,0
00165,1,Private,0
00315,1,Private,0
00525,1,Private,0
00524,1,Private,0
00377,1,Private,0
00220,1,Private,0
00552,1,Private,0
00337,1,Private,0
00893,1,Private,0
00352,1,Private,0
00870,1,Private,0
01029,1,Private,0
00575,1,Private,0
00080,1,Private,0
00680,1,Private,0
00514,1,Private,0
01447,0,Private,0
01412,0,Private,0
01345,0,Private,0
00922,1,Private,0
00468,1,Private,0
01243,0,Private,0
01455,0,Private,0
00815,1,Private,0
02078,0,Private,0
01378,0,Private,0
01471,0,Private,0
01308,0,Private,0
00115,1,Private,0
01198,0,Private,0
01325,0,Private,0
01161,0,Private,0
00796,1,Private,0
01981,0,Private,0
01005,1,Private,0
01884,0,Private,0
01358,0,Private,0
00615,1,Private,0
01063,0,Private,0
00951,1,Private,0
01053,0,Private,0
01914,0,Private,0
00555,1,Private,0
00768,1,Private,0
00736,1,Private,0
01120,0,Private,0
00384,1,Private,0
02076,0,Private,0
01674,0,Private,0
01475,0,Private,0
01086,0,Private,0
02077,0,Private,0
01613,0,Private,0
01160,0,Private,0
02131,0,Private,0
01105,0,Private,0
01556,0,Private,0
01047,0,Private,0
01919,0,Private,0
01851,0,Private,0
00198,1,Private,0
00088,1,Private,0
01123,0,Private,0
00281,1,Private,0
02138,0,Private,0
00490,1,Private,0
00646,1,Private,0
00229,1,Private,0
01775,0,Private,0
00907,1,Private,0
00759,1,Private,0
02116,0,Private,0
01233,0,Private,0
01602,0,Private,0
00924,1,Private,0
01314,0,Private,0
00053,1,Private,0
01788,0,Private,0
00632,1,Private,0
00899,1,Private,0
00672,1,Private,0
00595,1,Private,0
00197,1,Private,0
00191,1,Private,0
01520,0,Private,0
00855,1,Private,0
00203,1,Private,0
00746,1,Private,0
02020,0,Private,0
00950,1,Private,0
01562,0,Private,0
01359,0,Private,0
01784,0,Private,0
00402,1,Private,0
00569,1,Private,0
00368,1,Private,0
00409,1,Private,0
02110,0,Private,0
02005,0,Private,0
02015,0,Private,0
00749,1,Private,0
00150,1,Private,0
00786,1,Private,0
01370,0,Private,0
02086,0,Private,0
00507,1,Private,0
01363,0,Private,0
00274,1,Private,0
00939,1,Private,0
00956,1,Private,0
00837,1,Private,0
00243,1,Private,0
02103,0,Private,0
01021,1,Private,0
00999,1,Private,0
01857,0,Private,0
01665,0,Private,0
00826,1,Private,0
00814,1,Private,0
01251,0,Private,0
00616,1,Private,0
00800,1,Private,0
01689,0,Private,0
01025,1,Private,0
00182,1,Private,0
01018,1,Private,0
00808,1,Private,0
00578,1,Private,0
01642,0,Private,0
01522,0,Private,0
01637,0,Private,0
01106,0,Private,0
01841,0,Private,0
00246,1,Private,0
00685,1,Private,0
00716,1,Private,0
01670,0,Private,0
00396,1,Private,0
01458,0,Private,0
01186,0,Private,0
00797,1,Private,0
00513,1,Private,0
01958,0,Private,0
01422,0,Private,0
00807,1,Private,0
01524,0,Private,0
00257,1,Private,0
01304,0,Private,0
01418,0,Private,0
00178,1,Private,0
02025,0,Private,0
00974,1,Private,0
01658,0,Private,0
