file_name,time_of_event,time_of_alert,light_conditions,weather,scene,time_to_accident
01924.mp4,,,Normal,Clear,Sub-urban,
01429.mp4,,,Normal,Rain,Urban,
01904.mp4,,,Normal,Cloudy,Urban,
01486.mp4,,,Normal,Clear,Urban,
01171.mp4,,,Normal,Clear,Sub-urban,
01518.mp4,,,Normal,Cloudy,Highway,
01889.mp4,,,Normal,Clear,Rural,
01286.mp4,,,Normal,Cloudy,Sub-urban,
01267.mp4,,,Normal,Cloudy,Sub-urban,
01802.mp4,,,Normal,Cloudy,Urban,
01755.mp4,,,Normal,Cloudy,Urban,
02134.mp4,,,Normal,Cloudy,Sub-urban,
01076.mp4,,,Normal,Cloudy,Urban,
01749.mp4,,,Normal,Clear,Highway,
01816.mp4,,,Normal,Cloudy,Sub-urban,
01052.mp4,,,Normal,Cloudy,Urban,
01205.mp4,,,Normal,Clear,Urban,
01579.mp4,,,Normal,Clear,Urban,
01973.mp4,,,Normal,Clear,Highway,
01050.mp4,,,Normal,Clear,Highway,
01204.mp4,,,Normal,Cloudy,Sub-urban,
01505.mp4,,,Normal,Clear,Sub-urban,
01699.mp4,,,Normal,Clear,Urban,
01972.mp4,,,Normal,Clear,Urban,
02083.mp4,,,Normal,Cloudy,Highway,
01162.mp4,,,Normal,Cloudy,Sub-urban,
01438.mp4,,,Normal,Rain,Highway,
01457.mp4,,,Normal,Clear,Sub-urban,
01342.mp4,,,Normal,Cloudy,Highway,
01236.mp4,,,Normal,Clear,Urban,
01303.mp4,,,Normal,Cloudy,Urban,
01250.mp4,,,Normal,Cloudy,Urban,
01291.mp4,,,Normal,Cloudy,Urban,
02013.mp4,,,Normal,Clear,Urban,
01906.mp4,,,Normal,Cloudy,Highway,
01653.mp4,,,Normal,Cloudy,Highway,
01405.mp4,,,Normal,Cloudy,Highway,
01783.mp4,,,Normal,Cloudy,Sub-urban,
01419.mp4,,,Normal,Cloudy,Urban,
01276.mp4,,,Normal,Clear,Urban,
01352.mp4,,,Normal,Clear,Sub-urban,
01425.mp4,,,Normal,Cloudy,Urban,
01797.mp4,,,Normal,Rain,Urban,
01829.mp4,,,Normal,Cloudy,Urban,
01075.mp4,,,Twilight,Rain,Urban,
01869.mp4,,,Normal,Clear,Urban,
01551.mp4,,,Normal,Clear,Highway,
01197.mp4,,,Normal,Clear,Urban,
01468.mp4,,,Normal,Clear,Highway,
02067.mp4,,,Normal,Clear,Urban,
01305.mp4,,,Normal,Clear,Urban,
02026.mp4,,,Normal,Clear,Sub-urban,
02001.mp4,,,Normal,Clear,Sub-urban,
01416.mp4,,,Normal,Cloudy,Urban,
01719.mp4,,,Normal,Clear,Urban,
01103.mp4,,,Normal,Clear,Urban,
01717.mp4,,,Normal,Clear,Highway,
01943.mp4,,,Normal,Cloudy,Urban,
01624.mp4,,,Twilight,Cloudy,Urban,
01523.mp4,,,Twilight,Cloudy,Sub-urban,
01322.mp4,,,Normal,Cloudy,Urban,
01714.mp4,,,Normal,Clear,Sub-urban,
02063.mp4,,,Normal,Clear,Urban,
01728.mp4,,,Normal,Clear,Sub-urban,
02014.mp4,,,Normal,Cloudy,Sub-urban,
01261.mp4,,,Normal,Clear,Urban,
01932.mp4,,,Normal,Cloudy,Urban,
02084.mp4,,,Normal,Clear,Urban,
